Максимальный шаг, при которых РК2 и РK4 совпадают h = 1.869159e-03          
Число узлов n = 535 при данном h
-------------------------------------------------------------
|    x    |        u(z) РК2        |        u(z) РК4        |
| 0.81121 |      3.093416e-07      |      3.093419e-07      |
| 0.81308 |      3.092580e-07      |      3.092583e-07      |
| 0.81495 |      3.091758e-07      |      3.091761e-07      |
| 0.81682 |      3.090950e-07      |      3.090953e-07      |
| 0.81869 |      3.090156e-07      |      3.090159e-07      |
| 0.82056 |      3.089376e-07      |      3.089379e-07      |
| 0.82243 |      3.088610e-07      |      3.088613e-07      |
| 0.82430 |      3.087858e-07      |      3.087861e-07      |
| 0.82617 |      3.087120e-07      |      3.087123e-07      |
| 0.82804 |      3.086395e-07      |      3.086398e-07      |
| 0.82991 |      3.085684e-07      |      3.085687e-07      |
| 0.83178 |      3.084986e-07      |      3.084989e-07      |
| 0.83364 |      3.084301e-07      |      3.084304e-07      |
| 0.83551 |      3.083630e-07      |      3.083633e-07      |
| 0.83738 |      3.082971e-07      |      3.082974e-07      |
| 0.83925 |      3.082326e-07      |      3.082329e-07      |
| 0.84112 |      3.081693e-07      |      3.081696e-07      |
| 0.84299 |      3.081073e-07      |      3.081076e-07      |
| 0.84486 |      3.080465e-07      |      3.080468e-07      |
| 0.84673 |      3.079870e-07      |      3.079873e-07      |
| 0.84860 |      3.079287e-07      |      3.079290e-07      |
| 0.85047 |      3.078717e-07      |      3.078720e-07      |
| 0.85234 |      3.078158e-07      |      3.078161e-07      |
| 0.85421 |      3.077612e-07      |      3.077615e-07      |
| 0.85607 |      3.077077e-07      |      3.077080e-07      |
| 0.85794 |      3.076554e-07      |      3.076557e-07      |
| 0.85981 |      3.076043e-07      |      3.076045e-07      |
| 0.86168 |      3.075543e-07      |      3.075545e-07      |
| 0.86355 |      3.075054e-07      |      3.075057e-07      |
| 0.86542 |      3.074576e-07      |      3.074579e-07      |
| 0.86729 |      3.074110e-07      |      3.074113e-07      |
| 0.86916 |      3.073655e-07      |      3.073657e-07      |
