Вариант коэфф-та k: k1
Число узлов n = 1001
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
| 0.21100 |      3.713272e-07      |      2.470339e+03      |      2.447141e+03      |
| 0.21200 |      3.712388e-07      |      2.481880e+03      |      2.481881e+03      |
| 0.21300 |      3.711500e-07      |      2.493417e+03      |      2.470229e+03      |
| 0.21400 |      3.710608e-07      |      2.504949e+03      |      2.504951e+03      |
| 0.21500 |      3.709712e-07      |      2.516477e+03      |      2.493300e+03      |
| 0.21600 |      3.708811e-07      |      2.528001e+03      |      2.528002e+03      |
| 0.21700 |      3.707907e-07      |      2.539519e+03      |      2.516352e+03      |
| 0.21800 |      3.706999e-07      |      2.551033e+03      |      2.551034e+03      |
| 0.21900 |      3.706087e-07      |      2.562542e+03      |      2.539386e+03      |
| 0.22000 |      3.705171e-07      |      2.574046e+03      |      2.574047e+03      |
| 0.22100 |      3.704250e-07      |      2.585545e+03      |      2.562400e+03      |
| 0.22200 |      3.703326e-07      |      2.597039e+03      |      2.597040e+03      |
| 0.22300 |      3.702398e-07      |      2.608528e+03      |      2.585395e+03      |
| 0.22400 |      3.701466e-07      |      2.620011e+03      |      2.620013e+03      |
| 0.22500 |      3.700529e-07      |      2.631490e+03      |      2.608369e+03      |
| 0.22600 |      3.699589e-07      |      2.642963e+03      |      2.642964e+03      |
| 0.22700 |      3.698645e-07      |      2.654430e+03      |      2.631321e+03      |
| 0.22800 |      3.697697e-07      |      2.665892e+03      |      2.665894e+03      |
| 0.22900 |      3.696745e-07      |      2.677349e+03      |      2.654253e+03      |
| 0.23000 |      3.695788e-07      |      2.688800e+03      |      2.688801e+03      |
| 0.23100 |      3.694828e-07      |      2.700245e+03      |      2.677161e+03      |
| 0.23200 |      3.693864e-07      |      2.711684e+03      |      2.711685e+03      |
| 0.23300 |      3.692896e-07      |      2.723117e+03      |      2.700047e+03      |
| 0.23400 |      3.691924e-07      |      2.734544e+03      |      2.734546e+03      |
| 0.23500 |      3.690948e-07      |      2.745965e+03      |      2.722910e+03      |
| 0.23600 |      3.689969e-07      |      2.757380e+03      |      2.757382e+03      |
| 0.23700 |      3.688985e-07      |      2.768789e+03      |      2.745748e+03      |
| 0.23800 |      3.687997e-07      |      2.780192e+03      |      2.780193e+03      |
| 0.23900 |      3.687005e-07      |      2.791588e+03      |      2.768561e+03      |
| 0.24000 |      3.686010e-07      |      2.802977e+03      |      2.802979e+03      |
| 0.24100 |      3.685010e-07      |      2.814360e+03      |      2.791348e+03      |
| 0.24200 |      3.684007e-07      |      2.825736e+03      |      2.825738e+03      |
| 0.24300 |      3.682999e-07      |      2.837106e+03      |      2.814110e+03      |
| 0.24400 |      3.681988e-07      |      2.848468e+03      |      2.848470e+03      |
| 0.24500 |      3.680973e-07      |      2.859824e+03      |      2.836844e+03      |
| 0.24600 |      3.679954e-07      |      2.871172e+03      |      2.871174e+03      |
| 0.24700 |      3.678931e-07      |      2.882514e+03      |      2.859550e+03      |
| 0.24800 |      3.677904e-07      |      2.893848e+03      |      2.893850e+03      |
| 0.24900 |      3.676874e-07      |      2.905175e+03      |      2.882228e+03      |
| 0.25000 |      3.675839e-07      |      2.916495e+03      |      2.916497e+03      |
| 0.25100 |      3.674801e-07      |      2.927807e+03      |      2.904877e+03      |
| 0.25200 |      3.673758e-07      |      2.939111e+03      |      2.939113e+03      |
| 0.25300 |      3.672712e-07      |      2.950408e+03      |      2.927496e+03      |
| 0.25400 |      3.671662e-07      |      2.961697e+03      |      2.961699e+03      |
| 0.25500 |      3.670608e-07      |      2.972978e+03      |      2.950084e+03      |
| 0.25600 |      3.669551e-07      |      2.984251e+03      |      2.984253e+03      |
| 0.25700 |      3.668489e-07      |      2.995516e+03      |      2.972641e+03      |
| 0.25800 |      3.667424e-07      |      3.006773e+03      |      3.006775e+03      |
| 0.25900 |      3.666355e-07      |      3.018021e+03      |      2.995166e+03      |
| 0.26000 |      3.665282e-07      |      3.029261e+03      |      3.029264e+03      |
| 0.26100 |      3.664205e-07      |      3.040493e+03      |      3.017657e+03      |
| 0.26200 |      3.663124e-07      |      3.051716e+03      |      3.051719e+03      |
| 0.26300 |      3.662040e-07      |      3.062931e+03      |      3.040115e+03      |
| 0.26400 |      3.660952e-07      |      3.074136e+03      |      3.074139e+03      |
| 0.26500 |      3.659860e-07      |      3.085333e+03      |      3.062538e+03      |
| 0.26600 |      3.658764e-07      |      3.096521e+03      |      3.096523e+03      |
| 0.26700 |      3.657665e-07      |      3.107699e+03      |      3.084926e+03      |
| 0.26800 |      3.656562e-07      |      3.118869e+03      |      3.118872e+03      |
| 0.26900 |      3.655455e-07      |      3.130029e+03      |      3.107277e+03      |
| 0.27000 |      3.654344e-07      |      3.141180e+03      |      3.141182e+03      |
| 0.27100 |      3.653230e-07      |      3.152321e+03      |      3.129591e+03      |
| 0.27200 |      3.652112e-07      |      3.163452e+03      |      3.163455e+03      |
| 0.27300 |      3.650990e-07      |      3.174574e+03      |      3.151868e+03      |
| 0.27400 |      3.649864e-07      |      3.185686e+03      |      3.185689e+03      |
| 0.27500 |      3.648735e-07      |      3.196788e+03      |      3.174105e+03      |
| 0.27600 |      3.647602e-07      |      3.207880e+03      |      3.207883e+03      |
| 0.27700 |      3.646465e-07      |      3.218962e+03      |      3.196302e+03      |
| 0.27800 |      3.645325e-07      |      3.230033e+03      |      3.230036e+03      |
| 0.27900 |      3.644181e-07      |      3.241094e+03      |      3.218459e+03      |
| 0.28000 |      3.643033e-07      |      3.252145e+03      |      3.252148e+03      |
| 0.28100 |      3.641881e-07      |      3.263184e+03      |      3.240574e+03      |
| 0.28200 |      3.640726e-07      |      3.274214e+03      |      3.274217e+03      |
| 0.28300 |      3.639568e-07      |      3.285232e+03      |      3.262647e+03      |
| 0.28400 |      3.638405e-07      |      3.296239e+03      |      3.296242e+03      |
| 0.28500 |      3.637239e-07      |      3.307235e+03      |      3.284676e+03      |
| 0.28600 |      3.636070e-07      |      3.318220e+03      |      3.318223e+03      |
| 0.28700 |      3.634897e-07      |      3.329193e+03      |      3.306661e+03      |
| 0.28800 |      3.633720e-07      |      3.340155e+03      |      3.340158e+03      |
| 0.28900 |      3.632540e-07      |      3.351106e+03      |      3.328601e+03      |
| 0.29000 |      3.631356e-07      |      3.362044e+03      |      3.362048e+03      |
| 0.29100 |      3.630168e-07      |      3.372971e+03      |      3.350494e+03      |
| 0.29200 |      3.628977e-07      |      3.383886e+03      |      3.383889e+03      |
| 0.29300 |      3.627782e-07      |      3.394789e+03      |      3.372340e+03      |
| 0.29400 |      3.626584e-07      |      3.405679e+03      |      3.405683e+03      |
| 0.29500 |      3.625382e-07      |      3.416557e+03      |      3.394138e+03      |
| 0.29600 |      3.624177e-07      |      3.427423e+03      |      3.427427e+03      |
| 0.29700 |      3.622968e-07      |      3.438276e+03      |      3.415887e+03      |
| 0.29800 |      3.621756e-07      |      3.449117e+03      |      3.449120e+03      |
| 0.29900 |      3.620540e-07      |      3.459944e+03      |      3.437585e+03      |
| 0.30000 |      3.619321e-07      |      3.470759e+03      |      3.470763e+03      |
| 0.30100 |      3.618098e-07      |      3.481560e+03      |      3.459232e+03      |
| 0.30200 |      3.616872e-07      |      3.492349e+03      |      3.492353e+03      |
| 0.30300 |      3.615642e-07      |      3.503124e+03      |      3.480827e+03      |
| 0.30400 |      3.614409e-07      |      3.513885e+03      |      3.513889e+03      |
| 0.30500 |      3.613172e-07      |      3.524633e+03      |      3.502368e+03      |
| 0.30600 |      3.611932e-07      |      3.535367e+03      |      3.535371e+03      |
| 0.30700 |      3.610689e-07      |      3.546087e+03      |      3.523855e+03      |
| 0.30800 |      3.609442e-07      |      3.556793e+03      |      3.556797e+03      |
| 0.30900 |      3.608191e-07      |      3.567485e+03      |      3.545286e+03      |
| 0.31000 |      3.606938e-07      |      3.578163e+03      |      3.578167e+03      |
| 0.31100 |      3.605681e-07      |      3.588826e+03      |      3.566661e+03      |
| 0.31200 |      3.604420e-07      |      3.599474e+03      |      3.599479e+03      |
| 0.31300 |      3.603156e-07      |      3.610108e+03      |      3.587979e+03      |
| 0.31400 |      3.601889e-07      |      3.620727e+03      |      3.620732e+03      |
| 0.31500 |      3.600619e-07      |      3.631331e+03      |      3.609237e+03      |
| 0.31600 |      3.599345e-07      |      3.641920e+03      |      3.641925e+03      |
| 0.31700 |      3.598068e-07      |      3.652494e+03      |      3.630436e+03      |
| 0.31800 |      3.596787e-07      |      3.663052e+03      |      3.663056e+03      |
| 0.31900 |      3.595503e-07      |      3.673595e+03      |      3.651574e+03      |
| 0.32000 |      3.594216e-07      |      3.684122e+03      |      3.684126e+03      |
| 0.32100 |      3.592926e-07      |      3.694633e+03      |      3.672649e+03      |
| 0.32200 |      3.591633e-07      |      3.705128e+03      |      3.705133e+03      |
| 0.32300 |      3.590336e-07      |      3.715607e+03      |      3.693662e+03      |
| 0.32400 |      3.589036e-07      |      3.726070e+03      |      3.726074e+03      |
| 0.32500 |      3.587732e-07      |      3.736516e+03      |      3.714609e+03      |
| 0.32600 |      3.586426e-07      |      3.746946e+03      |      3.746950e+03      |
| 0.32700 |      3.585116e-07      |      3.757359e+03      |      3.735492e+03      |
| 0.32800 |      3.583803e-07      |      3.767755e+03      |      3.767760e+03      |
| 0.32900 |      3.582487e-07      |      3.778134e+03      |      3.756308e+03      |
| 0.33000 |      3.581168e-07      |      3.788496e+03      |      3.788501e+03      |
| 0.33100 |      3.579846e-07      |      3.798841e+03      |      3.777055e+03      |
| 0.33200 |      3.578520e-07      |      3.809168e+03      |      3.809173e+03      |
| 0.33300 |      3.577192e-07      |      3.819477e+03      |      3.797734e+03      |
| 0.33400 |      3.575860e-07      |      3.829769e+03      |      3.829774e+03      |
| 0.33500 |      3.574525e-07      |      3.840043e+03      |      3.818342e+03      |
| 0.33600 |      3.573187e-07      |      3.850299e+03      |      3.850304e+03      |
| 0.33700 |      3.571846e-07      |      3.860537e+03      |      3.838879e+03      |
| 0.33800 |      3.570502e-07      |      3.870756e+03      |      3.870761e+03      |
| 0.33900 |      3.569155e-07      |      3.880957e+03      |      3.859343e+03      |
| 0.34000 |      3.567805e-07      |      3.891139e+03      |      3.891144e+03      |
| 0.34100 |      3.566452e-07      |      3.901302e+03      |      3.879733e+03      |
| 0.34200 |      3.565096e-07      |      3.911446e+03      |      3.911452e+03      |
| 0.34300 |      3.563737e-07      |      3.921571e+03      |      3.900048e+03      |
| 0.34400 |      3.562374e-07      |      3.931677e+03      |      3.931682e+03      |
| 0.34500 |      3.561009e-07      |      3.941763e+03      |      3.920286e+03      |
| 0.34600 |      3.559641e-07      |      3.951830e+03      |      3.951835e+03      |
| 0.34700 |      3.558270e-07      |      3.961877e+03      |      3.940447e+03      |
| 0.34800 |      3.556897e-07      |      3.971903e+03      |      3.971909e+03      |
