Число узлов n = 201
--------------------------------------------------------------------------------------
|    x    |          u(z)          |          f(z)          |     f(z) integral      |
| 0.77000 |      3.118900e-07      |      4.924813e+03      |      4.748432e+03      |
| 0.77500 |      3.115679e-07      |      4.899125e+03      |      4.717796e+03      |
| 0.78000 |      3.112573e-07      |      4.873362e+03      |      4.689548e+03      |
| 0.78500 |      3.109582e-07      |      4.847572e+03      |      4.659679e+03      |
| 0.79000 |      3.106704e-07      |      4.821803e+03      |      4.630284e+03      |
| 0.79500 |      3.103938e-07      |      4.796104e+03      |      4.601163e+03      |
| 0.80000 |      3.101283e-07      |      4.770521e+03      |      4.570955e+03      |
| 0.80500 |      3.098738e-07      |      4.745103e+03      |      4.542564e+03      |
| 0.81000 |      3.096299e-07      |      4.719894e+03      |      4.511856e+03      |
| 0.81500 |      3.093966e-07      |      4.694940e+03      |      4.484175e+03      |
| 0.82000 |      3.091736e-07      |      4.670286e+03      |      4.453253e+03      |
| 0.82500 |      3.089608e-07      |      4.645975e+03      |      4.426264e+03      |
| 0.83000 |      3.087580e-07      |      4.622049e+03      |      4.395386e+03      |
| 0.83500 |      3.085650e-07      |      4.598552e+03      |      4.369067e+03      |
| 0.84000 |      3.083815e-07      |      4.575523e+03      |      4.338462e+03      |
| 0.84500 |      3.082074e-07      |      4.553005e+03      |      4.312791e+03      |
| 0.85000 |      3.080424e-07      |      4.531036e+03      |      4.282653e+03      |
| 0.85500 |      3.078863e-07      |      4.509658e+03      |      4.257609e+03      |
| 0.86000 |      3.077389e-07      |      4.488909e+03      |      4.228097e+03      |
| 0.86500 |      3.075999e-07      |      4.468831e+03      |      4.203657e+03      |
| 0.87000 |      3.074690e-07      |      4.449464e+03      |      4.174896e+03      |
| 0.87500 |      3.073462e-07      |      4.430851e+03      |      4.151039e+03      |
| 0.88000 |      3.072310e-07      |      4.413033e+03      |      4.123120e+03      |
| 0.88500 |      3.071232e-07      |      4.396059e+03      |      4.099825e+03      |
| 0.89000 |      3.070227e-07      |      4.379975e+03      |      4.072806e+03      |
| 0.89500 |      3.069291e-07      |      4.364834e+03      |      4.050053e+03      |
| 0.90000 |      3.068422e-07      |      4.350694e+03      |      4.023966e+03      |
| 0.90500 |      3.067617e-07      |      4.337618e+03      |      4.001734e+03      |
| 0.91000 |      3.066874e-07      |      4.325675e+03      |      3.976585e+03      |
| 0.91500 |      3.066190e-07      |      4.314947e+03      |      3.954855e+03      |
| 0.92000 |      3.065562e-07      |      4.305524e+03      |      3.930630e+03      |
| 0.92500 |      3.064988e-07      |      4.297512e+03      |      3.909384e+03      |
| 0.93000 |      3.064465e-07      |      4.291031e+03      |      3.886053e+03      |
| 0.93500 |      3.063991e-07      |      4.286225e+03      |      3.865272e+03      |
| 0.94000 |      3.063563e-07      |      4.283262e+03      |      3.842795e+03      |
| 0.94500 |      3.063178e-07      |      4.282343e+03      |      3.822463e+03      |
| 0.95000 |      3.062834e-07      |      4.283706e+03      |      3.800790e+03      |
| 0.95500 |      3.062528e-07      |      4.287643e+03      |      3.780891e+03      |
| 0.96000 |      3.062258e-07      |      4.294505e+03      |      3.759970e+03      |
| 0.96500 |      3.062021e-07      |      4.304727e+03      |      3.740488e+03      |
| 0.97000 |      3.061815e-07      |      4.318848e+03      |      3.720264e+03      |
| 0.97500 |      3.061636e-07      |      4.337546e+03      |      3.701186e+03      |
| 0.98000 |      3.061484e-07      |      4.361684e+03      |      3.681604e+03      |
| 0.98500 |      3.061354e-07      |      4.392377e+03      |      3.662915e+03      |
| 0.99000 |      3.061246e-07      |      4.431091e+03      |      3.643921e+03      |
| 0.99500 |      3.061157e-07      |      4.479789e+03      |      3.625609e+03      |
| 1.00000 |      3.061085e-07      |      4.468943e+03      |      3.607150e+03      |
--------------------------------------------------------------------------------------
